interaction_type,interaction_label,model_key,n_standardized_feature_contrasts,mean_abs_standardized_interaction,se,ci95_low,ci95_high
filmstock_by_lighting,Filmstock by lighting,chatgpt_image_2,1152,1.1123467128322437,0.027878622080568426,1.057648098874397,1.1670453267900904
filmstock_by_lighting,Filmstock by lighting,xai_grok_imagine,1152,1.04135220594243,0.031199399592672577,0.9801381362834536,1.1025662756014065
filmstock_by_lighting_by_scan,Filmstock by lighting by scan,chatgpt_image_2,576,1.5739155695851927,0.05507041408998024,1.465751867078723,1.6820792720916624
filmstock_by_lighting_by_scan,Filmstock by lighting by scan,xai_grok_imagine,576,1.4991488649830778,0.05772723116656168,1.3857669127751273,1.6125308171910282
filmstock_by_scan,Filmstock by scan,chatgpt_image_2,1152,1.0549150243025551,0.02758357651697144,1.0007952977565944,1.1090347508485159
filmstock_by_scan,Filmstock by scan,xai_grok_imagine,1152,0.981391004518101,0.03039601288473775,0.921753201407349,1.041028807628853
lighting_by_scan,Lighting by scan,chatgpt_image_2,1152,1.09615061191183,0.027238532970862622,1.0427078701778414,1.1495933536458187
lighting_by_scan,Lighting by scan,xai_grok_imagine,1152,1.0528413103553946,0.030426016164332093,0.9931446399949178,1.1125379807158715
