model_key,effect_type,effect_label,distance_metric,metric_label,n_runs,n_distances,grand_mean,total_sd,between_run_sd_of_means,pooled_within_run_sd,run_variance_share_descriptive
chatgpt_image_2,filmstock_cinestill_minus_portra,CineStill minus Portra,distance_all_selected_features,All selected features,3,72,7.294266312045333,1.882746969800497,0.08391651768210655,1.908555306423315,0.0019295081781274834
chatgpt_image_2,filmstock_cinestill_minus_portra,CineStill minus Portra,distance_color_features,Color features,3,72,5.691514916942426,1.6617655245673617,0.041538430863958156,1.685320979981458,0.0006071152924390599
chatgpt_image_2,filmstock_cinestill_minus_portra,CineStill minus Portra,distance_contrast_texture_features,Contrast and texture,3,72,5.177613948394093,1.7137654647581755,0.3790063867164745,1.7094428131377546,0.046853656533067285
chatgpt_image_2,filmstock_cinestill_minus_portra,CineStill minus Portra,distance_structure_features,Structure features,3,72,2.2578203867050917,1.0719179929711602,0.07143251456633283,1.0857085847630104,0.004310120637587839
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,distance_all_selected_features,All selected features,3,72,10.334898471984994,2.046417646299879,0.5102633981468657,2.031769018224511,0.059330399910059235
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,distance_color_features,Color features,3,72,9.10954533249192,1.943113427261486,0.40354751613289286,1.9421232459965723,0.04138838413651108
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,distance_contrast_texture_features,Contrast and texture,3,72,5.639543864193993,1.746166797691875,0.17124329115743767,1.7655250389248776,0.009319933091528381
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,distance_structure_features,Structure features,3,72,2.35182886082476,1.0405983902420741,0.09373154803893073,1.052672835100161,0.007866020462644546
chatgpt_image_2,scan_pushed_minus_clean,Pushed scan minus clean scan,distance_all_selected_features,All selected features,3,72,7.226406400541224,1.6891057637577145,0.20832647777964292,1.7045776464338325,0.014716901984049001
chatgpt_image_2,scan_pushed_minus_clean,Pushed scan minus clean scan,distance_color_features,Color features,3,72,5.6316696894456,1.4000711716034404,0.15310226088763518,1.4144646898761286,0.01158031501225497
chatgpt_image_2,scan_pushed_minus_clean,Pushed scan minus clean scan,distance_contrast_texture_features,Contrast and texture,3,72,5.175624219599665,1.546824475944512,0.18092576482302947,1.561808895331223,0.013242063869305758
chatgpt_image_2,scan_pushed_minus_clean,Pushed scan minus clean scan,distance_structure_features,Structure features,3,72,2.144039041138095,1.0467810580397858,0.2157079763924127,1.0464907177041587,0.040755926725928086
xai_grok_imagine,filmstock_cinestill_minus_portra,CineStill minus Portra,distance_all_selected_features,All selected features,3,72,7.259103065433068,2.187778724755529,0.6937878926798724,2.142490354506546,0.09490910511535053
xai_grok_imagine,filmstock_cinestill_minus_portra,CineStill minus Portra,distance_color_features,Color features,3,72,5.652408796428722,1.5170236067624816,0.5763946109049091,1.461830936455214,0.13455102060214247
xai_grok_imagine,filmstock_cinestill_minus_portra,CineStill minus Portra,distance_contrast_texture_features,Contrast and texture,3,72,5.127465199533039,2.1941257667459917,0.8952336300206415,2.096712621520699,0.15419347285292728
xai_grok_imagine,filmstock_cinestill_minus_portra,CineStill minus Portra,distance_structure_features,Structure features,3,72,1.9417366835003458,0.9350067602466503,0.32832998963658805,0.9080672628844055,0.11561788465079641
xai_grok_imagine,lighting_warm_minus_cool,Warm practical minus cool ambient,distance_all_selected_features,All selected features,3,72,8.906056523659917,2.438538399348998,0.5571128473141703,2.4295921692095748,0.04995333923064236
xai_grok_imagine,lighting_warm_minus_cool,Warm practical minus cool ambient,distance_color_features,Color features,3,72,7.367825249456284,1.8040837483754675,0.3328026926322292,1.8088695477158538,0.03274172975372949
xai_grok_imagine,lighting_warm_minus_cool,Warm practical minus cool ambient,distance_contrast_texture_features,Contrast and texture,3,72,5.574008472554865,2.4278194737963923,0.8044569596042249,2.3695917131910105,0.10334382364129675
xai_grok_imagine,lighting_warm_minus_cool,Warm practical minus cool ambient,distance_structure_features,Structure features,3,72,2.374493499686167,1.281007324150041,0.2489497033381453,1.282743422396069,0.03629829781010806
xai_grok_imagine,scan_pushed_minus_clean,Pushed scan minus clean scan,distance_all_selected_features,All selected features,3,72,6.843455608051065,2.3526482903434194,0.9175882267499954,2.260458017767584,0.14146829300253425
xai_grok_imagine,scan_pushed_minus_clean,Pushed scan minus clean scan,distance_color_features,Color features,3,72,5.309147882381314,1.5402192397672034,0.24341700042203968,1.549134674923387,0.024095220646687853
xai_grok_imagine,scan_pushed_minus_clean,Pushed scan minus clean scan,distance_contrast_texture_features,Contrast and texture,3,72,4.89822520607675,2.3360125201304656,0.9027517652610362,2.246819501221944,0.13899687905377403
xai_grok_imagine,scan_pushed_minus_clean,Pushed scan minus clean scan,distance_structure_features,Structure features,3,72,1.8987619051543032,1.1502023290609835,0.40094563076449435,1.1178018549515805,0.11399306702479071
