model_key,scene_key,film_key,light_key,scan_key,condition_id,n_images,n_runs,n_features,mean_distance_to_condition_centroid,sd_distance_to_condition_centroid,mean_pairwise_seed_distance,sd_pairwise_seed_distance,mean_run_centroid_distance,sd_run_centroid_distance
chatgpt_image_2,apartment,cinestill800t,cool_ambient,clean_scan,apartment_cinestill800t_cool_ambient_clean_scan,6,3,23,2.9080374760629844,0.4504721705004166,4.4778966470612165,0.8347339269899627,1.8707126170994286,0.34723589543437455
chatgpt_image_2,apartment,cinestill800t,cool_ambient,pushed_scan,apartment_cinestill800t_cool_ambient_pushed_scan,6,3,23,3.532422959074744,0.833347733065194,5.489764642208238,1.1332553157132348,2.318076809970518,0.4167998085140711
chatgpt_image_2,apartment,cinestill800t,warm_practical,clean_scan,apartment_cinestill800t_warm_practical_clean_scan,6,3,23,3.34371874761294,0.5666170810086036,5.141574346894984,1.0553005089265743,1.9010931299781397,0.11918889927932412
chatgpt_image_2,apartment,cinestill800t,warm_practical,pushed_scan,apartment_cinestill800t_warm_practical_pushed_scan,6,3,23,3.728050273344589,0.5511043224665548,5.733129658843199,1.0830104277190353,2.8107094577703435,0.4368912044230455
chatgpt_image_2,apartment,portra400,cool_ambient,clean_scan,apartment_portra400_cool_ambient_clean_scan,6,3,23,2.1360250539109598,0.31572271281427483,3.28964341756234,0.5926831744946695,1.3519459687741324,0.26038188304800486
chatgpt_image_2,apartment,portra400,cool_ambient,pushed_scan,apartment_portra400_cool_ambient_pushed_scan,6,3,23,2.8229689526195325,0.49161321248288287,4.338390002932983,0.9186800595628251,1.6761487305014173,0.1710354777034892
chatgpt_image_2,apartment,portra400,warm_practical,clean_scan,apartment_portra400_warm_practical_clean_scan,6,3,23,2.5656005777344664,0.5983679784653295,4.005299970812955,0.7105298308625531,1.5781680780478657,0.3969674292127598
chatgpt_image_2,apartment,portra400,warm_practical,pushed_scan,apartment_portra400_warm_practical_pushed_scan,6,3,23,4.322591877227602,1.6123649869108343,6.777035743384159,2.099680976763368,3.015860978157722,0.5084392874074675
chatgpt_image_2,backstage,cinestill800t,cool_ambient,clean_scan,backstage_cinestill800t_cool_ambient_clean_scan,6,3,23,3.40754610045984,0.8833611838760815,5.24075630237662,1.4500306766506452,2.5949015527511423,1.0533792693138664
chatgpt_image_2,backstage,cinestill800t,cool_ambient,pushed_scan,backstage_cinestill800t_cool_ambient_pushed_scan,6,3,23,3.096219577628514,0.5821190595717222,4.774665052336171,0.9754561855701119,1.788503728081351,0.25227336251258925
chatgpt_image_2,backstage,cinestill800t,warm_practical,clean_scan,backstage_cinestill800t_warm_practical_clean_scan,6,3,23,2.835051448125615,1.0043503110632606,4.460341897025531,1.2303437536853452,1.8268484542398091,0.722528116001618
chatgpt_image_2,backstage,cinestill800t,warm_practical,pushed_scan,backstage_cinestill800t_warm_practical_pushed_scan,6,3,23,3.5334671432755247,0.6026250638400578,5.44112071626368,1.0784191865416954,2.266791488273386,0.15885850813589628
chatgpt_image_2,backstage,portra400,cool_ambient,clean_scan,backstage_portra400_cool_ambient_clean_scan,6,3,23,2.760606705957233,0.6605891202963452,4.287907729899607,0.9123449744149262,1.5057439454447137,0.2818521026928356
