model_key,variation_metric,n_conditions,mean,se,ci95_low,ci95_high
chatgpt_image_2,mean_distance_to_condition_centroid,24,3.0383209539219926,0.11584390550816885,2.7986795771718542,3.277962330672131
chatgpt_image_2,mean_pairwise_seed_distance,24,4.709061742916795,0.18045863791115263,4.335754608236034,5.082368877597556
chatgpt_image_2,mean_run_centroid_distance,24,1.9598280494271403,0.09249976214185474,1.7684777125104407,2.15117838634384
xai_grok_imagine,mean_distance_to_condition_centroid,24,2.7438176184844587,0.09254402506828495,2.55237571672814,2.9352595202407774
xai_grok_imagine,mean_pairwise_seed_distance,24,4.257378471878622,0.1463196801988026,3.9546931518812873,4.560063791875956
xai_grok_imagine,mean_run_centroid_distance,24,1.8222301021354506,0.0826596961826261,1.6512354925523347,1.9932247117185664
