group_type,group,n,point_index,PC1,PC2
model_key,chatgpt_image_2,144,63,-2.5935180341744806,0.12474480890635908
model_key,chatgpt_image_2,144,64,-2.5390401433468943,0.1373098525003994
model_key,chatgpt_image_2,144,65,-2.4833474866335776,0.1484388370447639
model_key,chatgpt_image_2,144,66,-2.426527021506872,0.15811438595117677
model_key,chatgpt_image_2,144,67,-2.3686674663780796,0.1663213919985772
model_key,chatgpt_image_2,144,68,-2.309859162074189,0.17304704092125256
model_key,chatgpt_image_2,144,69,-2.250193930781407,0.17828083141679252
model_key,chatgpt_image_2,144,70,-2.1897649326757067,0.18201459154262667
model_key,chatgpt_image_2,144,71,-2.128666520464277,0.1842424914755425
model_key,chatgpt_image_2,144,72,-2.0669940920649683,0.18496105261426243
model_key,chatgpt_image_2,144,73,-2.004843941653767,0.18416915301086678
model_key,chatgpt_image_2,144,74,-1.9423131093128754,0.18186802912258182
model_key,chatgpt_image_2,144,75,-1.8794992295141362,0.17806127388119963
model_key,chatgpt_image_2,144,76,-1.8165003786743978,0.17275483108314038
model_key,chatgpt_image_2,144,77,-1.753414922020835,0.16595698610892062
model_key,chatgpt_image_2,144,78,-1.6903413600053159,0.15767835298651478
model_key,chatgpt_image_2,144,79,-1.6273781745076472,0.14793185781881057
model_key,chatgpt_image_2,144,80,-1.5646236750678026,0.13673271860103398
model_key,chatgpt_image_2,144,81,-1.5021758453872494,0.12409842145965555
model_key,chatgpt_image_2,144,82,-1.4401321903390318,0.11004869334988032
model_key,chatgpt_image_2,144,83,-1.3785895837254811,0.09460547125434837
model_key,chatgpt_image_2,144,84,-1.3176441170212785,0.07779286793114137
model_key,chatgpt_image_2,144,85,-1.2573909493380193,0.05963713426457218
model_key,chatgpt_image_2,144,86,-1.1979241588445606,0.04016661827754631
model_key,chatgpt_image_2,144,87,-1.1393365958751245,0.019411720869487503
model_key,chatgpt_image_2,144,88,-1.0817197379545247,-0.002595151651055838
model_key,chatgpt_image_2,144,89,-1.0251635469668732,-0.025819638165015535
model_key,chatgpt_image_2,144,90,-0.9697563286907717,-0.0502254763936133
model_key,chatgpt_image_2,144,91,-0.9155845949203272,-0.07577455951760159
model_key,chatgpt_image_2,144,92,-0.8627329283872497,-0.10242699567654145
model_key,chatgpt_image_2,144,93,-0.8112838506949597,-0.13014117025520566
model_key,chatgpt_image_2,144,94,-0.761317693470902,-0.1588738108598593
model_key,chatgpt_image_2,144,95,-0.7129124729382408,-0.18858005488296858
model_key,chatgpt_image_2,144,96,-0.6661437681027933,-0.21921351955083435
model_key,chatgpt_image_2,144,97,-0.6210846027453805,-0.25072637434478906
model_key,chatgpt_image_2,144,98,-0.5778053314038627,-0.2830694156828729
model_key,chatgpt_image_2,144,99,-0.5363735295228818,-0.31619214374538657
model_key,chatgpt_image_2,144,100,-0.49685388794282304,-0.3500428413243649
model_key,chatgpt_image_2,144,101,-0.4593081118927511,-0.38456865457385764
model_key,chatgpt_image_2,144,102,-0.4237948246450154,-0.41971567553493694
model_key,chatgpt_image_2,144,103,-0.3903694759819727,-0.45542902630657384
model_key,chatgpt_image_2,144,104,-0.35908425561773316,-0.4916529447309685
model_key,chatgpt_image_2,144,105,-0.3299880117101157,-0.5283308714595394
model_key,chatgpt_image_2,144,106,-0.30312617459005,-0.5654055382636325
model_key,chatgpt_image_2,144,107,-0.2785406858275077,-0.6028190574520593
model_key,chatgpt_image_2,144,108,-0.256269932744718,-0.64051301225586
model_key,chatgpt_image_2,144,109,-0.23634868847892232,-0.67842854803915
model_key,chatgpt_image_2,144,110,-0.21880805768824763,-0.7165064641936488
model_key,chatgpt_image_2,144,111,-0.2036754279854751,-0.7546873065734028
model_key,chatgpt_image_2,144,112,-0.1909744271755347,-0.7929114603253726
model_key,chatgpt_image_2,144,113,-0.18072488636349182,-0.831119242970956
model_key,chatgpt_image_2,144,114,-0.17294280899063041,-0.8692509975930883
model_key,chatgpt_image_2,144,115,-0.16764034584697995,-0.9072471859834389
model_key,chatgpt_image_2,144,116,-0.16482577609929927,-0.945048481604256
model_key,chatgpt_image_2,144,117,-0.1645034943641397,-0.9825958622197098
model_key,chatgpt_image_2,144,118,-0.16667400384617315,-1.0198307020521127
model_key,chatgpt_image_2,144,119,-0.17133391555249933,-1.0566948633191076
