component,feature,loading
PC1,local_lab_corr_a_b_abs_mean,-0.07867573399128899
PC1,local_lab_corr_a_b_p90_abs,-0.06415492015229192
PC1,hue_circular_mean_turns,0.022598614851782477
PC1,hue_resultant_length,-0.02360578282172455
PC1,hue_circular_variance,0.02360578282172455
PC1,hue_warm_share,-0.07583647913305286
PC1,hue_red_orange_share,-0.07293384532002649
PC1,hue_yellow_share,-0.015931238455754775
PC1,hue_green_share,0.03363540032498221
PC1,hue_teal_cyan_share,0.07089107102155158
PC1,hue_blue_share,0.02830757397976069
PC1,hue_magenta_share,-0.03139993133441182
PC1,hue_red_orange_highlight_share,-0.059449198251429816
PC1,hue_teal_cyan_shadow_share,0.04338404366311093
PC1,shadow_lab_l,0.056782159976275164
PC1,shadow_lab_a,0.019143447610128247
PC1,shadow_lab_b,0.04397907888954137
PC1,shadow_warmth_rgb_r_minus_b,0.04119710771793432
PC1,shadow_saturation,-0.015000520372597003
PC1,shadow_red_excess,0.03581181650282622
PC1,midtone_lab_l,0.10190572647235974
PC1,midtone_lab_a,-0.07428751235397328
PC1,midtone_lab_b,-0.04267362972746932
PC1,midtone_warmth_rgb_r_minus_b,-0.057169272246058674
PC1,midtone_saturation,-0.09929829970792002
PC1,midtone_red_excess,-0.0697053210016111
PC1,midtone_fraction,0.012650098154874816
PC1,highlight_lab_l,0.11660166384676755
PC1,highlight_lab_a,-0.09959123247422638
PC1,highlight_lab_b,-0.1139865270756698
PC1,highlight_warmth_rgb_r_minus_b,-0.11466972315366125
PC1,highlight_saturation,-0.12177891021396141
PC1,highlight_red_excess,-0.1084438311586076
PC1,highlight_minus_shadow_lab_a,-0.09406006687452018
PC1,highlight_minus_shadow_lab_b,-0.1144871349148907
PC1,highlight_minus_shadow_warmth,-0.11447373496878348
PC1,highlight_minus_shadow_saturation,-0.07569701977283994
PC1,split_tone_distance_lab_ab,-0.10217650229149469
PC1,midtone_shadow_lab_b_delta,-0.06986715422814592
PC1,highlight_midtone_lab_b_delta,-0.09982262489995816
PC1,luma_skewness,-0.10233888754312691
PC1,luma_kurtosis_excess,-0.0987180235153402
PC1,shadow_compression_ratio,0.07508032995221303
PC1,highlight_compression_ratio,-0.08100631793111526
PC1,highlight_rolloff_ratio,-0.05966605329726317
PC1,shadow_rolloff_ratio,-0.05712693289498429
PC1,upper_lower_luma_spread_ratio,-0.08183460798636166
PC1,midtone_luma_width_p75_p25,0.105749785700145
PC1,extreme_tail_luma_width,0.07638466584784631
PC1,lower_tail_luma_width_p10_p01,0.06835632245512724
PC1,upper_tail_luma_width_p99_p90,-0.07280086081562855
PC1,fft_low_freq_power_share,0.006098440625750167
PC1,fft_mid_freq_power_share,-0.026596869609226772
PC1,fft_high_freq_power_share,-0.022943869685832223
PC1,fft_high_mid_power_ratio,-0.01295878508608561
