effect_type,model_key,feature,n_effects,mean_effect,mean_abs_effect,median_abs_effect,sd_effect,se_effect
filmstock_by_lighting,chatgpt_image_2,bottom_luma_mean,36,0.054615423186785646,0.09701131729202138,0.06975170224905014,0.11826329278820204,0.019710548798033672
filmstock_by_lighting,chatgpt_image_2,center_edge_luma_delta,36,0.024580099516444735,0.09816337873538335,0.08911558240652084,0.11690712325152508,0.019484520541920847
filmstock_by_lighting,chatgpt_image_2,center_luma_mean,36,0.038000346885787115,0.10650524414247936,0.08989327400922775,0.1201905594070006,0.020031759901166766
filmstock_by_lighting,chatgpt_image_2,clipped_highlight_fraction,36,0.001085360844930013,0.004611041810777452,0.002315521240234375,0.008444181935528892,0.001407363655921482
filmstock_by_lighting,chatgpt_image_2,clipped_shadow_fraction,36,-0.0049254099527994795,0.013303544786241319,0.0027222633361816406,0.02643004428230339,0.004405007380383898
filmstock_by_lighting,chatgpt_image_2,color_spatial_range_lab_a,36,3.872000422742632,8.48168471786711,7.074825286865234,9.75794550091775,1.6263242501529582
filmstock_by_lighting,chatgpt_image_2,color_spatial_range_lab_b,36,-3.156140089035034,10.741752809948391,10.73014211654663,12.14515379835595,2.024192299725992
filmstock_by_lighting,chatgpt_image_2,color_spatial_range_lab_l,36,-7.2505364418029785,15.754200988345676,11.461554527282715,20.503529661643753,3.417254943607292
filmstock_by_lighting,chatgpt_image_2,color_spatial_range_rgb_b,36,-0.12742840871214867,0.18991675600409508,0.14562873542308807,0.2178168819341978,0.03630281365569963
filmstock_by_lighting,chatgpt_image_2,color_spatial_range_rgb_g,36,-0.07575451541278097,0.16191627871659067,0.10744985938072205,0.20783568529423793,0.03463928088237299
filmstock_by_lighting,chatgpt_image_2,color_spatial_range_rgb_r,36,-0.03257443259159724,0.17252537194225523,0.14076128602027893,0.22765561629385134,0.03794260271564189
filmstock_by_lighting,chatgpt_image_2,color_spatial_var_lab_a,36,13.292766688598526,23.694560820857685,15.353051006793976,29.770047388319217,4.9616745647198695
filmstock_by_lighting,chatgpt_image_2,color_spatial_var_lab_b,36,-12.507204863760206,35.53442072868347,32.79549217224121,42.51796046990131,7.086326744983552
filmstock_by_lighting,chatgpt_image_2,color_spatial_var_lab_l,36,-61.660856352912056,145.47365432315402,125.72301864624023,178.43893485849682,29.739822476416137
filmstock_by_lighting,chatgpt_image_2,color_spatial_var_rgb_b,36,-0.008082030869748754,0.013251354052853357,0.011486236471682787,0.014751744647913017,0.002458624107985503
filmstock_by_lighting,chatgpt_image_2,color_spatial_var_rgb_g,36,-0.006097558737059848,0.013837368816085573,0.012671262957155704,0.01684475758376927,0.0028074595972948785
filmstock_by_lighting,chatgpt_image_2,color_spatial_var_rgb_r,36,-0.0020177755246145856,0.014585371724226408,0.010754551040008664,0.020210329005888924,0.003368388167648154
filmstock_by_lighting,chatgpt_image_2,deep_shadow_fraction,36,-0.016610357496473525,0.1477691332499186,0.10757827758789062,0.19976402492253736,0.033294004153756225
filmstock_by_lighting,chatgpt_image_2,dynamic_range_p95_p05,36,-0.014064885869932672,0.15796678742238632,0.10243909899145365,0.21780197133002854,0.03630032855500476
filmstock_by_lighting,chatgpt_image_2,edge_density_canny,36,0.008043898476494683,0.025907278060913086,0.02247142791748047,0.031751471169735444,0.005291911861622574
filmstock_by_lighting,chatgpt_image_2,edge_luma_mean,36,0.01342024736934238,0.08654915706978904,0.06338725239038467,0.11291401258552883,0.018819002097588137
filmstock_by_lighting,chatgpt_image_2,extreme_tail_luma_width,36,-0.039354037338246904,0.16425221490984163,0.15889349346980453,0.19459117221180888,0.03243186203530148
filmstock_by_lighting,chatgpt_image_2,fft_high_freq_log_power_mean,36,0.3287757388261914,0.5642622478716877,0.5292653724013552,0.6474597120506832,0.1079099520084472
filmstock_by_lighting,chatgpt_image_2,fft_high_freq_power_share,36,0.006990726207778356,0.019270836741552774,0.014177208799845662,0.024920844913354157,0.004153474152225693
filmstock_by_lighting,chatgpt_image_2,fft_high_low_power_ratio,36,0.01459781553543224,0.0380762468910217,0.026256037294919744,0.052002798975605,0.008667133162600834
filmstock_by_lighting,chatgpt_image_2,fft_high_mid_power_ratio,36,0.02488678106613313,0.08105905896781092,0.08101562721135576,0.09540846283453731,0.015901410472422887
filmstock_by_lighting,chatgpt_image_2,fft_low_freq_log_power_mean,36,0.14653831609734874,0.5556068404682981,0.4663404702948517,0.7063750153822723,0.11772916923037872
filmstock_by_lighting,chatgpt_image_2,fft_low_freq_power_share,36,-0.009968749660663415,0.0998455171453079,0.0893176272395318,0.12607194888149306,0.021011991480248845
filmstock_by_lighting,chatgpt_image_2,fft_mid_freq_log_power_mean,36,0.24913475567601498,0.5218587243675946,0.3977782882068799,0.6185912385823115,0.10309853976371858
filmstock_by_lighting,chatgpt_image_2,fft_mid_freq_power_share,36,0.012125824045499053,0.04528341860734557,0.03564982093396632,0.05491426783380574,0.009152377972300956
filmstock_by_lighting,chatgpt_image_2,fft_radial_loglog_slope,36,0.06323505370067434,0.2271950554425785,0.21693285092302506,0.28351740236852496,0.04725290039475416
filmstock_by_lighting,chatgpt_image_2,gradient_mag_mean,36,0.00908383789161841,0.03969025673965613,0.0357363261282444,0.047579560927610655,0.007929926821268442
filmstock_by_lighting,chatgpt_image_2,gradient_mag_p95,36,0.03959213114447064,0.18676541497310004,0.17386214435100555,0.22692790288201792,0.037821317147002986
filmstock_by_lighting,chatgpt_image_2,gradient_mag_sd,36,0.019477154231733747,0.07121303718951014,0.07030533254146576,0.08682914556467561,0.014471524260779267
filmstock_by_lighting,chatgpt_image_2,halation_background_red_excess_mean,36,0.02807046404632274,0.0443966847977006,0.039759977255016565,0.04882720593571028,0.008137867655951713
filmstock_by_lighting,chatgpt_image_2,halation_bright_fraction,36,-5.030632019042969e-05,0.00017942322625054253,2.193450927734375e-05,0.0005909655388820375,9.849425648033958e-05
filmstock_by_lighting,chatgpt_image_2,halation_bright_threshold_luma,36,-0.027459195918507047,0.1635396894481447,0.13897034525871277,0.20353204660768448,0.03392200776794741
filmstock_by_lighting,chatgpt_image_2,halation_index_ring_minus_background,36,0.023282689050574845,0.07089488369506904,0.06163142994046211,0.08557651129751913,0.014262751882919854
filmstock_by_lighting,chatgpt_image_2,halation_ring_fraction,36,0.011439296934339736,0.023434347576565213,0.022162914276123047,0.027034601243155723,0.0045057668738592875
filmstock_by_lighting,chatgpt_image_2,halation_ring_red_excess_mean,36,0.051353153096897586,0.09783447155182835,0.09638843353604898,0.11331984514854838,0.018886640858091396
filmstock_by_lighting,chatgpt_image_2,halation_ring_red_excess_p95,36,0.1386764788379272,0.19662854303088453,0.20588237047195435,0.1812402082256431,0.030206701370940517
filmstock_by_lighting,chatgpt_image_2,highlight_compression_ratio,36,-0.0017429394865455343,0.19386023703203686,0.21673403846133021,0.24025097063499917,0.04004182843916653
filmstock_by_lighting,chatgpt_image_2,highlight_fraction,36,1.1417600843641492e-05,2.8848648071289062e-05,8.106231689453125e-06,5.877405961244236e-05,9.795676602073727e-06
filmstock_by_lighting,chatgpt_image_2,highlight_lab_a,36,3.659897060547438,5.580556489216785,4.81550931930542,6.346863441797837,1.0578105736329728
filmstock_by_lighting,chatgpt_image_2,highlight_lab_b,36,7.241723247926631,10.265766220186682,10.543631494045258,9.722451399144441,1.6204085665240735
filmstock_by_lighting,chatgpt_image_2,highlight_lab_l,36,0.19591172536214194,13.8560758166843,11.855897903442383,17.885380582081307,2.9808967636802177
filmstock_by_lighting,chatgpt_image_2,highlight_midtone_lab_b_delta,36,5.799248935674162,10.87332628027717,9.70665156841278,11.917137139742845,1.9861895232904743
filmstock_by_lighting,chatgpt_image_2,highlight_minus_shadow_lab_a,36,4.676894552643514,6.481012080847803,5.941581313498318,6.34131723759594,1.05688620626599
filmstock_by_lighting,chatgpt_image_2,highlight_minus_shadow_lab_b,36,7.238126686276195,10.24141548758295,9.26880168914795,10.644916941361386,1.7741528235602309
filmstock_by_lighting,chatgpt_image_2,highlight_minus_shadow_saturation,36,0.010810507357948355,0.31121839200043017,0.2669462151825428,0.369238068159262,0.06153967802654367
filmstock_by_lighting,chatgpt_image_2,highlight_minus_shadow_warmth,36,0.09439230221323669,0.119905880626498,0.11084628570824862,0.11766625792387414,0.019611042987312356
filmstock_by_lighting,chatgpt_image_2,highlight_red_excess,36,0.06695393613982661,0.08369597363424772,0.0745019733440131,0.08113879147006191,0.013523131911676985
filmstock_by_lighting,chatgpt_image_2,highlight_rolloff_ratio,36,-0.05831384735618725,0.34502841183890276,0.2659917465650057,0.43710888752348115,0.07285148125391352
filmstock_by_lighting,chatgpt_image_2,highlight_saturation,36,0.018245710370441277,0.11735971737653017,0.09897227212786674,0.14732515613317088,0.024554192688861814
filmstock_by_lighting,chatgpt_image_2,highlight_warmth_rgb_r_minus_b,36,0.0873977459139294,0.11930114693111843,0.09816785156726837,0.11647672324266094,0.019412787207110156
filmstock_by_lighting,chatgpt_image_2,hue_blue_share,36,-0.08684693637936851,0.26590464188788054,0.26531155317415833,0.3189106593501062,0.05315177655835104
filmstock_by_lighting,chatgpt_image_2,hue_circular_mean_turns,36,-0.08042502558828618,0.4266610206091266,0.2480606650993456,0.5987206220636565,0.09978677034394275
filmstock_by_lighting,chatgpt_image_2,hue_circular_variance,36,-0.05071426131149088,0.33245519529601897,0.2705758913417581,0.39287847129585884,0.06547974521597648
filmstock_by_lighting,chatgpt_image_2,hue_entropy_12bin,36,0.14432037992151786,0.5497868068041536,0.518055149644451,0.6139023724652469,0.10231706207754115
filmstock_by_lighting,chatgpt_image_2,hue_green_share,36,0.04641043166262341,0.06815371560383257,0.025371826863658735,0.1023841433146384,0.017064023885773067
filmstock_by_lighting,chatgpt_image_2,hue_hist_12bin_00,36,0.036181502872043185,0.1464174058702257,0.1152181625366211,0.1881507156165427,0.03135845260275712
filmstock_by_lighting,chatgpt_image_2,hue_hist_12bin_01,36,0.04018923971388075,0.0907546944088406,0.05917644500732422,0.11932891593479909,0.019888152655799848
filmstock_by_lighting,chatgpt_image_2,hue_hist_12bin_02,36,0.03531654675801595,0.04740558730231391,0.027136802673339844,0.05857174184865589,0.009761956974775983
filmstock_by_lighting,chatgpt_image_2,hue_hist_12bin_03,36,0.016487280527750652,0.026267899407280818,0.019395828247070312,0.03231816544801289,0.005386360908002148
filmstock_by_lighting,chatgpt_image_2,hue_hist_12bin_04,36,0.019039180543687608,0.03941602177090115,0.027127742767333984,0.047961030767078076,0.007993505127846346
filmstock_by_lighting,chatgpt_image_2,hue_hist_12bin_05,36,-0.0010524855719672309,0.05934699376424154,0.04389047622680664,0.078813340375409,0.013135556729234834
filmstock_by_lighting,chatgpt_image_2,hue_hist_12bin_06,36,-0.06806800100538465,0.20527423752678764,0.18676185607910156,0.24151240178276256,0.04025206696379376
filmstock_by_lighting,chatgpt_image_2,hue_hist_12bin_07,36,-0.03838724560207791,0.13775581783718532,0.10350465774536133,0.1719460102695808,0.02865766837826347
filmstock_by_lighting,chatgpt_image_2,hue_hist_12bin_08,36,-0.023194154103597004,0.06422090530395508,0.03783559799194336,0.08729820956015501,0.014549701593359167
