run_id,run_block,effect_type,factor,low_level,high_level,model_key,scene_key,film_key,light_key,scan_key,replicate,low_variant_id,high_variant_id,distance_all_selected_features,distance_color_features,distance_contrast_texture_features,distance_structure_features,n_all_features,n_color_features,n_contrast_texture_features,n_structure_features
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,chatgpt_image_2,backstage,portra400,warm_practical,clean_scan,2,run1_chatgpt_image_2_backstage_portra400_warm_practical_clean_scan_rep02,run1_chatgpt_image_2_backstage_cinestill800t_warm_practical_clean_scan_rep02,4.202546447937339,3.5825091701457223,3.5885939339844426,1.2459701559949163,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,chatgpt_image_2,backstage,portra400,warm_practical,pushed_scan,1,run1_chatgpt_image_2_backstage_portra400_warm_practical_pushed_scan_rep01,run1_chatgpt_image_2_backstage_cinestill800t_warm_practical_pushed_scan_rep01,9.793408111419,9.263845562597309,3.8556935187748014,1.3572440430894068,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,chatgpt_image_2,backstage,portra400,warm_practical,pushed_scan,2,run1_chatgpt_image_2_backstage_portra400_warm_practical_pushed_scan_rep02,run1_chatgpt_image_2_backstage_cinestill800t_warm_practical_pushed_scan_rep02,7.07945526226657,4.5542223370218355,5.34852628074642,3.574233113133737,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,chatgpt_image_2,corner_store,portra400,cool_ambient,clean_scan,1,run1_chatgpt_image_2_corner_store_portra400_cool_ambient_clean_scan_rep01,run1_chatgpt_image_2_corner_store_cinestill800t_cool_ambient_clean_scan_rep01,3.97143934349232,3.8632837348031996,2.574050357861686,0.5667955282336361,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,chatgpt_image_2,corner_store,portra400,cool_ambient,clean_scan,2,run1_chatgpt_image_2_corner_store_portra400_cool_ambient_clean_scan_rep02,run1_chatgpt_image_2_corner_store_cinestill800t_cool_ambient_clean_scan_rep02,7.628754312489794,5.695245030250054,5.430781399529847,2.2061690760232118,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,chatgpt_image_2,corner_store,portra400,cool_ambient,pushed_scan,1,run1_chatgpt_image_2_corner_store_portra400_cool_ambient_pushed_scan_rep01,run1_chatgpt_image_2_corner_store_cinestill800t_cool_ambient_pushed_scan_rep01,4.858917993035374,4.090563140518857,3.4989075471021684,2.0850829136231592,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,chatgpt_image_2,corner_store,portra400,cool_ambient,pushed_scan,2,run1_chatgpt_image_2_corner_store_portra400_cool_ambient_pushed_scan_rep02,run1_chatgpt_image_2_corner_store_cinestill800t_cool_ambient_pushed_scan_rep02,4.8003332241552785,3.7115500386602673,3.625014144927361,0.6560625327059603,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,chatgpt_image_2,corner_store,portra400,warm_practical,clean_scan,1,run1_chatgpt_image_2_corner_store_portra400_warm_practical_clean_scan_rep01,run1_chatgpt_image_2_corner_store_cinestill800t_warm_practical_clean_scan_rep01,8.998181705187852,6.2008066502112955,6.195099104574257,3.9735760290971998,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,chatgpt_image_2,corner_store,portra400,warm_practical,clean_scan,2,run1_chatgpt_image_2_corner_store_portra400_warm_practical_clean_scan_rep02,run1_chatgpt_image_2_corner_store_cinestill800t_warm_practical_clean_scan_rep02,8.590896051319909,6.161795941709172,6.63071073124183,2.5921817722167635,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,chatgpt_image_2,corner_store,portra400,warm_practical,pushed_scan,1,run1_chatgpt_image_2_corner_store_portra400_warm_practical_pushed_scan_rep01,run1_chatgpt_image_2_corner_store_cinestill800t_warm_practical_pushed_scan_rep01,6.467961544350002,5.358228723074808,5.462415704953564,4.172829972862683,49,32,23,5
