rank_robust_distance,variant_id,run_id,model_key,scene_key,film_key,light_key,scan_key,replicate,image_path,robust_mahalanobis_sq_pc10,empirical_mahalanobis_sq_pc10,chi_square_df,chi_square_975_cutoff,flag_robust_outlier_975,robust_tail_p_value
220,run1_xai_grok_imagine_corner_store_portra400_cool_ambient_pushed_scan_rep01,filmstock_20260503_005006_f42a60,xai_grok_imagine,corner_store,portra400,cool_ambient,pushed_scan,1,data/images/run1_xai_grok_imagine_corner_store_portra400_cool_ambient_pushed_scan_rep01_00001_.png,6.828535583638013,6.806613138368425,10,20.48317735080739,0,0.7415270312386661
221,run1_xai_grok_imagine_corner_store_portra400_cool_ambient_pushed_scan_rep02,filmstock_20260503_005006_f42a60,xai_grok_imagine,corner_store,portra400,cool_ambient,pushed_scan,2,data/images/run1_xai_grok_imagine_corner_store_portra400_cool_ambient_pushed_scan_rep02_00001_.png,6.798929586096935,7.116046184969996,10,20.48317735080739,0,0.744281097221918
222,run2_chatgpt_image_2_backstage_portra400_cool_ambient_pushed_scan_rep02,filmstock_20260503_085439_ff0729,chatgpt_image_2,backstage,portra400,cool_ambient,pushed_scan,2,data/images/run2_chatgpt_image_2_backstage_portra400_cool_ambient_pushed_scan_rep02_00001_.png,6.795441109821622,6.980365001042188,10,20.48317735080739,0,0.7446051389519116
223,run1_chatgpt_image_2_corner_store_cinestill800t_warm_practical_clean_scan_rep02,filmstock_20260503_005006_f42a60,chatgpt_image_2,corner_store,cinestill800t,warm_practical,clean_scan,2,data/images/run1_chatgpt_image_2_corner_store_cinestill800t_warm_practical_clean_scan_rep02_00001_.png,6.780211070800398,6.25388594871376,10,20.48317735080739,0,0.7460186675021998
224,run2_chatgpt_image_2_backstage_portra400_warm_practical_clean_scan_rep01,filmstock_20260503_085439_ff0729,chatgpt_image_2,backstage,portra400,warm_practical,clean_scan,1,data/images/run2_chatgpt_image_2_backstage_portra400_warm_practical_clean_scan_rep01_00001_.png,6.759486397087415,6.662060528021252,10,20.48317735080739,0,0.7479390500604535
225,run3_xai_grok_imagine_backstage_portra400_warm_practical_clean_scan_rep02,filmstock_20260503_114446_63c69b,xai_grok_imagine,backstage,portra400,warm_practical,clean_scan,2,data/images/run3_xai_grok_imagine_backstage_portra400_warm_practical_clean_scan_rep02_00001_.png,6.723137610126791,6.14808170098325,10,20.48317735080739,0,0.7512983378789926
226,run1_chatgpt_image_2_apartment_portra400_cool_ambient_clean_scan_rep02,filmstock_20260503_005006_f42a60,chatgpt_image_2,apartment,portra400,cool_ambient,clean_scan,2,data/images/run1_chatgpt_image_2_apartment_portra400_cool_ambient_clean_scan_rep02_00001_.png,6.676362384002716,6.099973968723543,10,20.48317735080739,0,0.7556041361807433
227,run2_xai_grok_imagine_corner_store_cinestill800t_warm_practical_clean_scan_rep02,filmstock_20260503_085439_ff0729,xai_grok_imagine,corner_store,cinestill800t,warm_practical,clean_scan,2,data/images/run2_xai_grok_imagine_corner_store_cinestill800t_warm_practical_clean_scan_rep02_00001_.png,6.668306058727296,6.3056051078644,10,20.48317735080739,0,0.7563437548769941
228,run2_xai_grok_imagine_backstage_cinestill800t_cool_ambient_clean_scan_rep02,filmstock_20260503_085439_ff0729,xai_grok_imagine,backstage,cinestill800t,cool_ambient,clean_scan,2,data/images/run2_xai_grok_imagine_backstage_cinestill800t_cool_ambient_clean_scan_rep02_00001_.png,6.6532671477396885,6.881024672674276,10,20.48317735080739,0,0.757722822263309
229,run3_xai_grok_imagine_apartment_portra400_warm_practical_clean_scan_rep02,filmstock_20260503_114446_63c69b,xai_grok_imagine,apartment,portra400,warm_practical,clean_scan,2,data/images/run3_xai_grok_imagine_apartment_portra400_warm_practical_clean_scan_rep02_00001_.png,6.646260041299263,6.413420510301703,10,20.48317735080739,0,0.7583646587912024
230,run1_xai_grok_imagine_apartment_cinestill800t_warm_practical_clean_scan_rep01,filmstock_20260503_005006_f42a60,xai_grok_imagine,apartment,cinestill800t,warm_practical,clean_scan,1,data/images/run1_xai_grok_imagine_apartment_cinestill800t_warm_practical_clean_scan_rep01_00001_.png,6.634305672735184,6.3570466350107875,10,20.48317735080739,0,0.759458596089842
231,run3_xai_grok_imagine_apartment_portra400_cool_ambient_pushed_scan_rep02,filmstock_20260503_114446_63c69b,xai_grok_imagine,apartment,portra400,cool_ambient,pushed_scan,2,data/images/run3_xai_grok_imagine_apartment_portra400_cool_ambient_pushed_scan_rep02_00001_.png,6.600181135737695,5.8178656369002,10,20.48317735080739,0,0.7625738693234173
232,run2_chatgpt_image_2_corner_store_cinestill800t_warm_practical_clean_scan_rep02,filmstock_20260503_085439_ff0729,chatgpt_image_2,corner_store,cinestill800t,warm_practical,clean_scan,2,data/images/run2_chatgpt_image_2_corner_store_cinestill800t_warm_practical_clean_scan_rep02_00001_.png,6.583246026411007,5.716204074314542,10,20.48317735080739,0,0.7641157375622493
233,run1_chatgpt_image_2_apartment_portra400_warm_practical_pushed_scan_rep02,filmstock_20260503_005006_f42a60,chatgpt_image_2,apartment,portra400,warm_practical,pushed_scan,2,data/images/run1_chatgpt_image_2_apartment_portra400_warm_practical_pushed_scan_rep02_00001_.png,6.5296163974146895,6.200300606380327,10,20.48317735080739,0,0.7689797922432515
234,run2_chatgpt_image_2_corner_store_cinestill800t_cool_ambient_clean_scan_rep01,filmstock_20260503_085439_ff0729,chatgpt_image_2,corner_store,cinestill800t,cool_ambient,clean_scan,1,data/images/run2_chatgpt_image_2_corner_store_cinestill800t_cool_ambient_clean_scan_rep01_00001_.png,6.455961727677518,5.61682969176566,10,20.48317735080739,0,0.7756121053128835
235,run2_chatgpt_image_2_backstage_cinestill800t_warm_practical_pushed_scan_rep01,filmstock_20260503_085439_ff0729,chatgpt_image_2,backstage,cinestill800t,warm_practical,pushed_scan,1,data/images/run2_chatgpt_image_2_backstage_cinestill800t_warm_practical_pushed_scan_rep01_00001_.png,6.4554845204632185,6.257088313087362,10,20.48317735080739,0,0.7756548894619852
236,run1_xai_grok_imagine_apartment_cinestill800t_warm_practical_clean_scan_rep02,filmstock_20260503_005006_f42a60,xai_grok_imagine,apartment,cinestill800t,warm_practical,clean_scan,2,data/images/run1_xai_grok_imagine_apartment_cinestill800t_warm_practical_clean_scan_rep02_00001_.png,6.445181409649934,5.472010365714581,10,20.48317735080739,0,0.7765780208563269
237,run1_chatgpt_image_2_apartment_cinestill800t_warm_practical_pushed_scan_rep02,filmstock_20260503_005006_f42a60,chatgpt_image_2,apartment,cinestill800t,warm_practical,pushed_scan,2,data/images/run1_chatgpt_image_2_apartment_cinestill800t_warm_practical_pushed_scan_rep02_00001_.png,6.429717773612695,6.557396206584608,10,20.48317735080739,0,0.7779613674118101
238,run1_xai_grok_imagine_corner_store_cinestill800t_cool_ambient_clean_scan_rep02,filmstock_20260503_005006_f42a60,xai_grok_imagine,corner_store,cinestill800t,cool_ambient,clean_scan,2,data/images/run1_xai_grok_imagine_corner_store_cinestill800t_cool_ambient_clean_scan_rep02_00001_.png,6.425965760842452,6.240865252432066,10,20.48317735080739,0,0.7782966227263542
239,run3_xai_grok_imagine_backstage_portra400_cool_ambient_clean_scan_rep02,filmstock_20260503_114446_63c69b,xai_grok_imagine,backstage,portra400,cool_ambient,clean_scan,2,data/images/run3_xai_grok_imagine_backstage_portra400_cool_ambient_clean_scan_rep02_00001_.png,6.42205485265079,6.399428847449723,10,20.48317735080739,0,0.7786459119449558
240,run3_chatgpt_image_2_apartment_portra400_cool_ambient_clean_scan_rep01,filmstock_20260503_114446_63c69b,chatgpt_image_2,apartment,portra400,cool_ambient,clean_scan,1,data/images/run3_chatgpt_image_2_apartment_portra400_cool_ambient_clean_scan_rep01_00001_.png,6.36516885982513,6.036302834593543,10,20.48317735080739,0,0.7837072950643095
241,run3_xai_grok_imagine_apartment_portra400_warm_practical_pushed_scan_rep02,filmstock_20260503_114446_63c69b,xai_grok_imagine,apartment,portra400,warm_practical,pushed_scan,2,data/images/run3_xai_grok_imagine_apartment_portra400_warm_practical_pushed_scan_rep02_00001_.png,6.345410645205476,6.046061363470614,10,20.48317735080739,0,0.7854567134454941
242,run2_chatgpt_image_2_apartment_cinestill800t_warm_practical_pushed_scan_rep02,filmstock_20260503_085439_ff0729,chatgpt_image_2,apartment,cinestill800t,warm_practical,pushed_scan,2,data/images/run2_chatgpt_image_2_apartment_cinestill800t_warm_practical_pushed_scan_rep02_00001_.png,6.332628025002028,6.533019113897802,10,20.48317735080739,0,0.7865861092461514
243,run2_chatgpt_image_2_apartment_portra400_cool_ambient_pushed_scan_rep01,filmstock_20260503_085439_ff0729,chatgpt_image_2,apartment,portra400,cool_ambient,pushed_scan,1,data/images/run2_chatgpt_image_2_apartment_portra400_cool_ambient_pushed_scan_rep01_00001_.png,6.309110715643171,5.6819908794632195,10,20.48317735080739,0,0.7886589861039215
244,run2_xai_grok_imagine_backstage_cinestill800t_warm_practical_pushed_scan_rep01,filmstock_20260503_085439_ff0729,xai_grok_imagine,backstage,cinestill800t,warm_practical,pushed_scan,1,data/images/run2_xai_grok_imagine_backstage_cinestill800t_warm_practical_pushed_scan_rep01_00001_.png,6.294728809015185,5.506869800148423,10,20.48317735080739,0,0.7899234368702694
245,run3_xai_grok_imagine_backstage_cinestill800t_warm_practical_pushed_scan_rep02,filmstock_20260503_114446_63c69b,xai_grok_imagine,backstage,cinestill800t,warm_practical,pushed_scan,2,data/images/run3_xai_grok_imagine_backstage_cinestill800t_warm_practical_pushed_scan_rep02_00001_.png,6.283270997337092,5.6667871046073195,10,20.48317735080739,0,0.7909290423665438
246,run2_xai_grok_imagine_corner_store_portra400_warm_practical_clean_scan_rep01,filmstock_20260503_085439_ff0729,xai_grok_imagine,corner_store,portra400,warm_practical,clean_scan,1,data/images/run2_xai_grok_imagine_corner_store_portra400_warm_practical_clean_scan_rep01_00001_.png,6.2607762593279785,6.123227124778801,10,20.48317735080739,0,0.7928987287340586
247,run3_chatgpt_image_2_backstage_portra400_cool_ambient_pushed_scan_rep02,filmstock_20260503_114446_63c69b,chatgpt_image_2,backstage,portra400,cool_ambient,pushed_scan,2,data/images/run3_chatgpt_image_2_backstage_portra400_cool_ambient_pushed_scan_rep02_00001_.png,6.259312133530067,6.235077532266707,10,20.48317735080739,0,0.7930267185580239
248,run1_chatgpt_image_2_corner_store_cinestill800t_cool_ambient_pushed_scan_rep01,filmstock_20260503_005006_f42a60,chatgpt_image_2,corner_store,cinestill800t,cool_ambient,pushed_scan,1,data/images/run1_chatgpt_image_2_corner_store_cinestill800t_cool_ambient_pushed_scan_rep01_00001_.png,6.252986938354049,5.501255061355819,10,20.48317735080739,0,0.7935793499147862
249,run3_xai_grok_imagine_apartment_portra400_warm_practical_pushed_scan_rep01,filmstock_20260503_114446_63c69b,xai_grok_imagine,apartment,portra400,warm_practical,pushed_scan,1,data/images/run3_xai_grok_imagine_apartment_portra400_warm_practical_pushed_scan_rep01_00001_.png,6.193351546217784,5.073237074627631,10,20.48317735080739,0,0.7987654386228292
250,run2_chatgpt_image_2_apartment_cinestill800t_warm_practical_clean_scan_rep01,filmstock_20260503_085439_ff0729,chatgpt_image_2,apartment,cinestill800t,warm_practical,clean_scan,1,data/images/run2_chatgpt_image_2_apartment_cinestill800t_warm_practical_clean_scan_rep01_00001_.png,6.167481340138948,6.512529285325659,10,20.48317735080739,0,0.8010013173353293
