model_key,effect_type,effect_label,feature,n_runs,mean_run_effect,sd_run_effect,ci95_low_across_runs,ci95_high_across_runs,standardized_mean_run_effect,abs_standardized_mean_run_effect,same_sign_run_count,all_runs_same_sign,coefficient_of_variation_abs,run_effects
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_cov_l_b_abs_mean,3,57.325201633716404,3.624677796865143,48.3210028255796,66.32940044185321,2.008311418121499,2.008311418121499,3,1,0.06323009241250102,60.797385;53.565191;57.613029
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_cov_l_b_p90_abs,3,121.7930391620633,14.247295217570157,86.40079582165714,157.18528250246945,1.9848105196804964,1.9848105196804964,3,1,0.11697955248995852,135.62798;107.16641;122.58473
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,highlight_saturation,3,0.2514291853230033,0.031143029636330248,0.17406561094523715,0.32879275970076943,1.899931216684009,1.899931216684009,3,1,0.12386401998766278,0.28519124;0.24527107;0.22382524
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,split_tone_distance_lab_ab,3,16.642294414267578,2.606405467237151,10.167624300991532,23.116964527543622,1.865917717967169,1.865917717967169,3,1,0.15661334923883197,19.42023;14.250503;16.25615
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_corr_l_b_abs_mean,3,0.2441968751469117,0.03864062277492484,0.1482082469062022,0.3401855033876212,1.8459176712298335,1.8459176712298335,3,1,0.158235533323996,0.28228216;0.20502389;0.24528458
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,highlight_lab_b,3,18.83904031714903,0.8199325828840118,16.802214866914003,20.87586576738406,1.8434690530511042,1.8434690530511042,3,1,0.043523054735311206,19.716367;18.092135;18.70862
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_cov_l_b_sd,3,45.91602838323099,3.180543054331309,38.01512143812101,53.81693532834097,1.838520574059012,1.838520574059012,3,1,0.06926868821896792,47.807804;47.696263;42.244018
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,highlight_warmth_rgb_r_minus_b,3,0.21720945172839692,0.017378229142118454,0.17403953735302188,0.26037936610377194,1.8363673516704138,1.8363673516704138,3,1,0.0800067814905612,0.23473709;0.19998459;0.21690668
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,lab_sd_b,3,5.588971038659413,0.849811275645509,3.47792280095775,7.700019276361077,1.8323291770858912,1.8323291770858912,3,1,0.15205147240293218,5.6651188;6.3981459;4.7036485
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_cov_a_b_abs_mean,3,30.36732747739536,0.9677950804076232,27.96319122090834,32.77146373388238,1.766737149369094,1.766737149369094,3,1,0.03186961648594281,31.089981;30.744212;29.267789
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,halation_ring_red_excess_p95,3,0.2766312666030393,0.014408163554431598,0.2408394041604091,0.31242312904566955,1.734209346670695,1.734209346670695,3,1,0.05208436389479806,0.26062092;0.28071895;0.28855393
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,warmth_rgb_mean_rg_minus_b,3,0.07133034834017356,0.004530482460157209,0.060076006008473626,0.08258469067187349,1.7329964526913293,1.7329964526913293,3,1,0.0635140941489784,0.067772524;0.076430659;0.069787862
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,warmth_rgb_mean_r_minus_b,3,0.10294376013593542,0.005960508024654191,0.08813703737070148,0.11775048290116936,1.7248370590384139,1.7248370590384139,3,1,0.05790062473707435,0.10008402;0.10979526;0.098952002
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,lab_mean_b,3,8.476128375364674,0.6212452888351138,6.9328695251221415,10.019387225607206,1.7162123507872158,1.7162123507872158,3,1,0.0732935204993737,7.9525483;9.1625873;8.3132496
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_corr_l_b_p90_abs,3,0.14950528799006826,0.01495408655010105,0.11235727764618386,0.18665329833395267,1.707778922249413,1.707778922249413,3,1,0.10002379682446055,0.1587288;0.15753551;0.13225155
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,highlight_minus_shadow_warmth,3,0.22079640780834275,0.029330904684566696,0.1479344013616562,0.2936584142550293,1.672461665814731,1.672461665814731,3,1,0.1328414034254883,0.25330686;0.19631897;0.21276339
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_cov_a_b_mean,3,30.15115905573651,1.7089202260424101,25.90596587585166,34.39635223562136,1.6696816777310155,1.6696816777310155,3,1,0.056678425624811055,30.820522;31.424076;28.208879
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,halation_ring_red_excess_mean,3,0.13665119459463113,0.007709118559748283,0.11750068245600603,0.15580170673325622,1.6685715414378535,1.6685715414378535,3,1,0.056414571293115987,0.12779241;0.14183685;0.14032433
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,highlight_minus_shadow_lab_b,3,19.165850925456553,1.902430623857337,14.439951268743835,23.891750582169273,1.6685471513957493,1.6685471513957493,3,1,0.09926147454953237,21.357267;17.937805;18.20248
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,highlight_red_excess,3,0.12595098997917376,0.018054730650842364,0.08110055269392166,0.17080142726442585,1.6543718078987375,1.6543718078987375,3,1,0.14334727066319805,0.14356126;0.10748242;0.12680929
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,lab_chroma_mean,3,6.459766917758518,0.6074864615081934,4.950686889348249,7.968846946168787,1.6460523092751604,1.6460523092751604,3,1,0.09404154503441214,6.4908142;7.0511344;5.8373521
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_cov_l_b_mean,3,69.201278533891,3.3370600421000027,60.911561836935235,77.49099523084676,1.634342143050514,1.634342143050514,3,1,0.048222520057424854,72.539863;65.865745;69.198227
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,lab_cov_l_b,3,152.44889425210556,4.827267803427511,140.4572962568931,164.44049224731802,1.6082740321457665,1.6082740321457665,3,1,0.03166482661031724,158.02198;149.5726;149.7521
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_cov_a_b_p90_abs,3,69.63521364024413,2.987677359226963,62.21341164164579,77.05701563884247,1.6065508079449167,1.6065508079449167,3,1,0.04290469150654405,72.211754;70.333723;66.360163
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,right_warmth_mean,3,0.1105445193687855,0.014786364063356447,0.0738131547793319,0.1472758839582391,1.5875839660200528,1.5875839660200528,3,1,0.13375935910515777,0.11844839;0.1196992;0.093485976
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_corr_a_b_abs_mean,3,0.16938164171492054,0.006768196455703828,0.15256850965877172,0.18619477377106936,1.5631299093724742,1.5631299093724742,3,1,0.03995826458628325,0.17719572;0.16559148;0.16535773
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,rgb_corr_r_b,3,-0.13563518451331288,0.03746687041791728,-0.22870805025972407,-0.04256231876690171,-1.5390919437615809,1.5390919437615809,3,1,0.27623267924437284,-0.13198017;-0.17479561;-0.10012977
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,highlight_lab_a,3,7.703363879532037,1.9049632349928094,2.9711728679884937,12.43555489107558,1.5259681560409109,1.5259681560409109,3,1,0.24728978986106676,9.8280536;6.1479113;7.1341267
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,hue_hist_12bin_00,3,0.20808585484822592,0.011206301592338395,0.18024785845345034,0.2359238512430015,1.5230535177296802,1.5230535177296802,3,1,0.05385422089604346,0.21312205;0.21589049;0.19524503
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,warm_highlight_excess_mean,3,0.1549673776822197,0.009718391372830712,0.13082555517542185,0.17910920018901752,1.5101838109580268,1.5101838109580268,3,1,0.06271249806368609,0.14982135;0.16617671;0.14890408
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,left_warmth_mean,3,0.11089342798287465,0.01209815587062453,0.08083994274202261,0.14094691322372668,1.5079744005799118,1.5079744005799118,3,1,0.10909714029665363,0.097425914;0.12084198;0.11441239
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,halation_background_red_excess_mean,3,0.0683765789217432,0.003237246048851047,0.06033481392957757,0.07641834391390884,1.507503845466242,1.507503845466242,3,1,0.04734436995679567,0.068091906;0.07174676;0.06529107
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,hue_warm_share,3,0.37914082239624564,0.03213390973869762,0.2993157653883657,0.4589658794041256,1.504919873072262,1.504919873072262,3,1,0.08475454986779028,0.34581213;0.40992915;0.38168119
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_cov_a_b_sd,3,28.410301616500718,1.5661179388896704,24.51984898345619,32.30075424954525,1.5010469447895645,1.5010469447895645,3,1,0.055125002192164985,29.342264;29.286449;26.602192
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,lab_corr_l_b,3,0.5453615164462646,0.04501457220686528,0.4335391200488823,0.657183912843647,1.4848251176453526,1.4848251176453526,3,1,0.08254079330751721,0.59689327;0.51370746;0.52548382
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,saturation_mean,3,0.14991027758353284,0.02293721170736802,0.09293108497885877,0.20688947018820691,1.4831766145391323,1.4831766145391323,3,1,0.15300626532818587,0.17048871;0.12518112;0.154061
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,color_spatial_range_lab_b,3,11.681765039761862,3.825552774302696,2.178565124825436,21.184964954698287,1.481576252961156,1.481576252961156,3,1,0.3274807155666505,11.644194;15.525965;7.8751363
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_corr_l_b_mean,3,0.48769001289550934,0.04878168586571234,0.3665095873937353,0.6088704383972834,1.478700125029602,1.478700125029602,3,1,0.10002600950568188,0.54238442;0.47200659;0.44867902
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,local_lab_cov_l_a_abs_mean,3,17.62758097662252,3.2012564628271223,9.675219072329199,25.579942880915844,1.4616970285362805,1.4616970285362805,3,1,0.18160497841834275,19.131928;13.951241;19.799573
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,hue_red_orange_share,3,0.33567535536664156,0.023197418682114973,0.2780497728031381,0.39330093793014503,1.4400701721238947,1.4400701721238947,3,1,0.06910670774974702,0.30921989;0.35253648;0.34526969
chatgpt_image_2,lighting_warm_minus_cool,Warm practical minus cool ambient,lab_cov_a_b,3,53.38216452491662,7.1906735638818295,35.51954115199162,71.24478789784162,1.4156525869896446,1.4156525869896446,3,1,0.13470179839795587,52.229019;61.079726;46.837748
