target,target_label,method,n_components,leave_run_out_accuracy,leave_run_out_auc,leave_run_out_rmse
model_key,Model,PLS-DA,1,0.78125,0.8566743827160493,0.39544814296169617
model_key,Model,PLS-DA,2,0.9097222222222222,0.9728009259259258,0.2936939983371097
model_key,Model,PLS-DA,3,0.9340277777777778,0.9877989969135802,0.27116402573927634
model_key,Model,PLS-DA,4,0.9444444444444444,0.9887635030864198,0.2657948140409852
model_key,Model,PLS-DA,5,0.96875,0.9937307098765433,0.2609880030295014
model_key,Model,PLS-DA,6,0.9652777777777778,0.996141975308642,0.25814917583807484
model_key,Model,PLS-DA,7,0.9618055555555556,0.9952739197530865,0.26605663147608494
model_key,Model,PLS-DA,8,0.9513888888888888,0.9945023148148149,0.2714047068145362
model_key,Model,PLS-DA,9,0.9652777777777778,0.9938271604938271,0.27113889888037995
model_key,Model,PLS-DA,10,0.9652777777777778,0.9930555555555556,0.2736168258556949
film_key,Filmstock,PLS-DA,1,0.6840277777777778,0.7229697145061728,0.4633330473725471
film_key,Filmstock,PLS-DA,2,0.7326388888888888,0.798924575617284,0.43381648767123887
film_key,Filmstock,PLS-DA,3,0.7361111111111112,0.812524112654321,0.42938545246040843
film_key,Filmstock,PLS-DA,4,0.7604166666666666,0.826147762345679,0.4233018489958058
film_key,Filmstock,PLS-DA,5,0.7534722222222222,0.8316695601851852,0.42055852670537675
film_key,Filmstock,PLS-DA,6,0.7569444444444444,0.8349729938271605,0.42253245895183794
film_key,Filmstock,PLS-DA,7,0.7291666666666666,0.8218557098765433,0.4364761086951712
film_key,Filmstock,PLS-DA,8,0.7326388888888888,0.8119212962962963,0.445718937236702
film_key,Filmstock,PLS-DA,9,0.7256944444444444,0.8013840663580246,0.4560748974527554
film_key,Filmstock,PLS-DA,10,0.71875,0.7922453703703705,0.4675418051886112
light_key,Lighting,PLS-DA,1,0.9236111111111112,0.9833140432098765,0.2817377960854889
light_key,Lighting,PLS-DA,2,0.9548611111111112,0.9929108796296295,0.2441152455329134
light_key,Lighting,PLS-DA,3,0.9618055555555556,0.9972511574074073,0.22775650229254182
light_key,Lighting,PLS-DA,4,0.9618055555555556,0.9966724537037037,0.2258228880365018
light_key,Lighting,PLS-DA,5,0.9618055555555556,0.9963348765432098,0.23226349121297596
light_key,Lighting,PLS-DA,6,0.9583333333333334,0.9949845679012346,0.23722709271950038
light_key,Lighting,PLS-DA,7,0.9583333333333334,0.9933931327160495,0.2431993089971094
light_key,Lighting,PLS-DA,8,0.9548611111111112,0.992380401234568,0.2471253839894794
light_key,Lighting,PLS-DA,9,0.9479166666666666,0.9923321759259259,0.24721188148759135
light_key,Lighting,PLS-DA,10,0.9513888888888888,0.9924768518518517,0.24636134619634542
scan_key,Scan,PLS-DA,1,0.6215277777777778,0.6684027777777777,0.476533273866062
scan_key,Scan,PLS-DA,2,0.6597222222222222,0.7227285879629631,0.46547614463232545
scan_key,Scan,PLS-DA,3,0.6701388888888888,0.7409818672839505,0.46376140137377775
scan_key,Scan,PLS-DA,4,0.6979166666666666,0.7542197145061729,0.4737472369362144
scan_key,Scan,PLS-DA,5,0.6736111111111112,0.7533275462962963,0.48248509363220027
scan_key,Scan,PLS-DA,6,0.6770833333333334,0.7546778549382716,0.4872953025709913
scan_key,Scan,PLS-DA,7,0.6875,0.7569444444444445,0.4980061519971991
scan_key,Scan,PLS-DA,8,0.6840277777777778,0.7520736882716049,0.50015374372753
scan_key,Scan,PLS-DA,9,0.7152777777777778,0.7540750385802468,0.5094907272818332
scan_key,Scan,PLS-DA,10,0.6944444444444444,0.7443094135802468,0.5243265975432149
