target,target_label,method,rank,feature,coefficient,abs_coefficient
scan_key,Scan,Ridge logistic,1,texture_highpass_mad,0.7107855532672486,0.7107855532672486
scan_key,Scan,Ridge logistic,2,shadow_rolloff_ratio,-0.5072587063414202,0.5072587063414202
scan_key,Scan,Ridge logistic,3,edge_density_canny,-0.482206336461959,0.482206336461959
scan_key,Scan,Ridge logistic,4,laplacian_variance,0.44860000205631106,0.44860000205631106
scan_key,Scan,Ridge logistic,5,local_lab_corr_l_b_p90_abs,0.3553722692648296,0.3553722692648296
scan_key,Scan,Ridge logistic,6,local_lab_cov_l_a_p90_abs,0.328737379630445,0.328737379630445
scan_key,Scan,Ridge logistic,7,local_lab_corr_a_b_mean,-0.3225628225677954,0.3225628225677954
scan_key,Scan,Ridge logistic,8,hue_red_orange_highlight_share,-0.2849777281091375,0.2849777281091375
scan_key,Scan,Ridge logistic,9,local_lab_corr_l_b_sd,0.27807165999203476,0.27807165999203476
scan_key,Scan,Ridge logistic,10,palette_within_cluster_lab_rmse,-0.2501445363414904,0.2501445363414904
scan_key,Scan,Ridge logistic,11,split_tone_distance_lab_ab,-0.24704215823599374,0.24704215823599374
scan_key,Scan,Ridge logistic,12,saturation_sd,-0.246313529133995,0.246313529133995
scan_key,Scan,Ridge logistic,13,hue_entropy_12bin,-0.23723783497059303,0.23723783497059303
scan_key,Scan,Ridge logistic,14,local_lab_corr_a_b_p90_abs,-0.21942273994382408,0.21942273994382408
scan_key,Scan,Ridge logistic,15,local_lab_corr_l_a_mean,0.21675304177766627,0.21675304177766627
scan_key,Scan,Ridge logistic,16,hue_hist_12bin_07,0.20829508835920912,0.20829508835920912
scan_key,Scan,Ridge logistic,17,clipped_shadow_fraction,0.19776808026942586,0.19776808026942586
scan_key,Scan,Ridge logistic,18,color_spatial_var_rgb_b,-0.19594585897324857,0.19594585897324857
scan_key,Scan,Ridge logistic,19,hue_teal_cyan_shadow_share,-0.19587657111656398,0.19587657111656398
scan_key,Scan,Ridge logistic,20,local_lab_cov_a_b_p90_abs,0.19276070638850135,0.19276070638850135
scan_key,Scan,Ridge logistic,21,local_lab_cov_a_b_sd,0.18578101067474256,0.18578101067474256
scan_key,Scan,Ridge logistic,22,hue_teal_cyan_share,0.18132573496555107,0.18132573496555107
scan_key,Scan,Ridge logistic,23,color_spatial_var_rgb_g,-0.17402776016514981,0.17402776016514981
scan_key,Scan,Ridge logistic,24,palette_dominant_lab_b,0.17324836882441116,0.17324836882441116
scan_key,Scan,Ridge logistic,25,fft_high_freq_power_share,0.17269566565437774,0.17269566565437774
scan_key,Scan,Ridge logistic,26,local_contrast_mean,-0.17200470252196273,0.17200470252196273
scan_key,Scan,Ridge logistic,27,local_lab_corr_a_b_abs_mean,-0.1693046194075107,0.1693046194075107
scan_key,Scan,Ridge logistic,28,hue_hist_12bin_10,0.16696826770632933,0.16696826770632933
scan_key,Scan,Ridge logistic,29,shadow_compression_ratio,-0.1669031283187683,0.1669031283187683
scan_key,Scan,Ridge logistic,30,shadow_fraction,0.1634442155404476,0.1634442155404476
scan_key,Scan,Ridge logistic,31,hue_hist_12bin_08,0.16214095980726118,0.16214095980726118
scan_key,Scan,Ridge logistic,32,fft_high_low_power_ratio,0.16130549341130843,0.16130549341130843
scan_key,Scan,Ridge logistic,33,fft_mid_freq_power_share,0.1610848980330076,0.1610848980330076
scan_key,Scan,Ridge logistic,34,lower_tail_luma_width_p10_p01,-0.15654801469718174,0.15654801469718174
scan_key,Scan,Ridge logistic,35,hue_hist_12bin_04,-0.15639311271857445,0.15639311271857445
scan_key,Scan,Ridge logistic,36,fft_radial_loglog_slope,-0.1529036159076207,0.1529036159076207
scan_key,Scan,Ridge logistic,37,local_lab_corr_l_b_mean,-0.15133248078497238,0.15133248078497238
scan_key,Scan,Ridge logistic,38,local_lab_cov_l_b_mean,-0.15071860864602662,0.15071860864602662
scan_key,Scan,Ridge logistic,39,hue_yellow_share,-0.14861646375600776,0.14861646375600776
scan_key,Scan,Ridge logistic,40,color_spatial_var_lab_l,-0.14455483870317576,0.14455483870317576
