target,target_label,method,rank,feature,coefficient,abs_coefficient
model_key,Model,Ridge logistic,19,local_lab_corr_a_b_sd,0.19186368016426192,0.19186368016426192
model_key,Model,Ridge logistic,20,hue_hist_12bin_10,0.19173729336754877,0.19173729336754877
model_key,Model,Ridge logistic,21,color_spatial_var_rgb_r,-0.1916620809994927,0.1916620809994927
model_key,Model,Ridge logistic,22,lab_corr_l_b,-0.18778062241050486,0.18778062241050486
model_key,Model,Ridge logistic,23,midtone_fraction,0.1859299262343915,0.1859299262343915
model_key,Model,Ridge logistic,24,local_contrast_p95,0.18483093328805733,0.18483093328805733
model_key,Model,Ridge logistic,25,lab_chroma_mean,0.1777210920799244,0.1777210920799244
model_key,Model,Ridge logistic,26,lab_cov_l_b,-0.17654028909079922,0.17654028909079922
model_key,Model,Ridge logistic,27,color_spatial_var_lab_l,-0.17340175432399985,0.17340175432399985
model_key,Model,Ridge logistic,28,hue_hist_12bin_09,-0.17085139255952478,0.17085139255952478
model_key,Model,Ridge logistic,29,luma_p01,-0.16969151575363853,0.16969151575363853
model_key,Model,Ridge logistic,30,shadow_compression_ratio,0.16856987346128824,0.16856987346128824
model_key,Model,Ridge logistic,31,shadow_saturation,0.1590615184786914,0.1590615184786914
model_key,Model,Ridge logistic,32,hue_blue_share,-0.15603044898226545,0.15603044898226545
model_key,Model,Ridge logistic,33,halation_ring_fraction,-0.15494359145241732,0.15494359145241732
model_key,Model,Ridge logistic,34,highlight_fraction,0.1542140045865965,0.1542140045865965
model_key,Model,Ridge logistic,35,lab_sd_a,0.15355340652383193,0.15355340652383193
model_key,Model,Ridge logistic,36,clipped_shadow_fraction,0.15329349056693414,0.15329349056693414
model_key,Model,Ridge logistic,37,saturation_mean,0.14930924961897002,0.14930924961897002
model_key,Model,Ridge logistic,38,local_lab_corr_l_a_sd,-0.14882712473003581,0.14882712473003581
model_key,Model,Ridge logistic,39,local_lab_cov_a_b_sd,0.14687067901290746,0.14687067901290746
model_key,Model,Ridge logistic,40,fft_mid_freq_power_share,0.14512481876516817,0.14512481876516817
film_key,Filmstock,LASSO logistic,1,halation_ring_red_excess_p95,1.4563987357624482,1.4563987357624482
film_key,Filmstock,LASSO logistic,2,local_lab_corr_l_a_mean,-1.0402565696138422,1.0402565696138422
film_key,Filmstock,LASSO logistic,3,color_spatial_var_lab_b,-0.6668737866774093,0.6668737866774093
film_key,Filmstock,LASSO logistic,4,local_lab_cov_l_a_mean,-0.6434550467605442,0.6434550467605442
film_key,Filmstock,LASSO logistic,5,color_spatial_range_rgb_r,0.42148650064668636,0.42148650064668636
film_key,Filmstock,LASSO logistic,6,split_tone_distance_lab_ab,0.40566174591082105,0.40566174591082105
film_key,Filmstock,LASSO logistic,7,local_lab_corr_l_b_sd,-0.3812204375928436,0.3812204375928436
film_key,Filmstock,LASSO logistic,8,local_lab_cov_l_b_sd,-0.34610365474446975,0.34610365474446975
film_key,Filmstock,LASSO logistic,9,shadow_lab_l,-0.3099773696841234,0.3099773696841234
film_key,Filmstock,LASSO logistic,10,lab_corr_l_b,-0.26334426869684424,0.26334426869684424
film_key,Filmstock,LASSO logistic,11,rgb_corr_r_g,-0.24543196759423422,0.24543196759423422
film_key,Filmstock,LASSO logistic,12,center_luma_mean,-0.23367433078049768,0.23367433078049768
film_key,Filmstock,LASSO logistic,13,lab_cov_a_b,0.21987241361343887,0.21987241361343887
film_key,Filmstock,LASSO logistic,14,deep_shadow_fraction,0.2130931718353798,0.2130931718353798
film_key,Filmstock,LASSO logistic,15,fft_mid_freq_log_power_mean,-0.20420497013198013,0.20420497013198013
film_key,Filmstock,LASSO logistic,16,local_lab_cov_a_b_mean,0.2037663028838577,0.2037663028838577
film_key,Filmstock,LASSO logistic,17,luma_kurtosis_excess,0.16196737802778452,0.16196737802778452
film_key,Filmstock,LASSO logistic,18,halation_bright_fraction,0.14928126532793853,0.14928126532793853
film_key,Filmstock,LASSO logistic,19,hue_entropy_12bin,0.14661381272345064,0.14661381272345064
film_key,Filmstock,LASSO logistic,20,fft_low_freq_log_power_mean,-0.13745180435301702,0.13745180435301702
film_key,Filmstock,LASSO logistic,21,fft_high_low_power_ratio,0.13157048729135692,0.13157048729135692
film_key,Filmstock,LASSO logistic,22,bottom_luma_mean,-0.11943630713934482,0.11943630713934482
film_key,Filmstock,LASSO logistic,23,midtone_shadow_lab_b_delta,-0.1145380753079531,0.1145380753079531
film_key,Filmstock,LASSO logistic,24,luma_p05,-0.11104239483838996,0.11104239483838996
film_key,Filmstock,LASSO logistic,25,rgb_corr_g_b,0.10877219622435698,0.10877219622435698
film_key,Filmstock,LASSO logistic,26,halation_ring_fraction,0.10180549728465615,0.10180549728465615
film_key,Filmstock,LASSO logistic,27,palette_top2_lab_distance,0.09494481299986261,0.09494481299986261
film_key,Filmstock,LASSO logistic,28,shadow_rolloff_ratio,0.09319657433593571,0.09319657433593571
film_key,Filmstock,LASSO logistic,29,midtone_fraction,-0.08152904130012509,0.08152904130012509
film_key,Filmstock,LASSO logistic,30,warmth_rgb_mean_rg_minus_b,-0.081253792938263,0.081253792938263
film_key,Filmstock,LASSO logistic,31,hue_teal_cyan_shadow_share,-0.07851589752818297,0.07851589752818297
film_key,Filmstock,LASSO logistic,32,hue_magenta_share,-0.07309360996619471,0.07309360996619471
film_key,Filmstock,LASSO logistic,33,palette_mean_pairwise_lab_distance,0.0614689082435893,0.0614689082435893
film_key,Filmstock,LASSO logistic,34,hue_circular_variance,-0.05353750253036432,0.05353750253036432
film_key,Filmstock,LASSO logistic,35,palette_dominant_lab_chroma,-0.04858161168472938,0.04858161168472938
film_key,Filmstock,LASSO logistic,36,local_lab_corr_l_b_p90_abs,-0.0423865721199826,0.0423865721199826
film_key,Filmstock,LASSO logistic,37,local_lab_cov_a_b_sd,0.042299580032787554,0.042299580032787554
