target,target_label,best_n_components_by_auc,rank,feature,vip,x_weight_component_1
model_key,Model,6,1,fft_mid_freq_log_power_mean,2.0221350080273415,0.18908311748157997
model_key,Model,6,2,palette_within_cluster_lab_rmse,1.9578806889569509,0.16039956823089527
model_key,Model,6,3,fft_high_freq_log_power_mean,1.8981374136298053,0.17465776383631085
model_key,Model,6,4,texture_highpass_mad,1.7501726795692587,-0.09012971142879982
model_key,Model,6,5,shadow_warmth_rgb_r_minus_b,1.6794571857222331,0.16015990874053657
model_key,Model,6,6,shadow_lab_b,1.599110423697623,0.15412277218428963
model_key,Model,6,7,shadow_red_excess,1.5834312830650703,0.14737088093631434
model_key,Model,6,8,gradient_mag_sd,1.4725932148770704,0.14554276805571703
model_key,Model,6,9,local_lab_corr_l_a_abs_mean,1.469781076086525,-0.14677855065918483
model_key,Model,6,10,shadow_rolloff_ratio,1.4604237445115467,-0.14536935993499728
model_key,Model,6,11,color_spatial_range_lab_l,1.4255147903919745,-0.05743606360493532
model_key,Model,6,12,fft_low_freq_log_power_mean,1.4179170971847186,0.13344778516955427
model_key,Model,6,13,color_spatial_range_rgb_r,1.4078825942464301,-0.07947067122549925
model_key,Model,6,14,laplacian_variance,1.4049470307176326,0.12191711333108816
model_key,Model,6,15,hue_hist_12bin_02,1.3928944636942655,0.1291083547673119
model_key,Model,6,16,texture_highpass_std,1.3329287256198994,0.12553882419823104
model_key,Model,6,17,color_spatial_range_rgb_g,1.3246061238476732,-0.03700360576146278
model_key,Model,6,18,color_spatial_var_rgb_r,1.318379733335339,-0.06993314237211873
model_key,Model,6,19,local_contrast_p95,1.2853193145673454,0.1305352721299609
model_key,Model,6,20,local_lab_corr_l_b_mean,1.2843749594753577,-0.12024855523554683
model_key,Model,6,21,color_spatial_var_lab_l,1.2735835952080448,-0.0385291178997969
model_key,Model,6,22,local_lab_cov_l_b_mean,1.2724596224600462,-0.11523570483508361
model_key,Model,6,23,highlight_midtone_lab_b_delta,1.2501457647090908,-0.12403736812359484
model_key,Model,6,24,hue_blue_share,1.2446640273487126,-0.0996128263543768
model_key,Model,6,25,shadow_compression_ratio,1.242675265235504,0.1302390562841938
model_key,Model,6,26,palette_dominant_lab_b,1.2289825038254856,0.11384418977405966
model_key,Model,6,27,highlight_minus_shadow_lab_a,1.2260561021099745,-0.10850686973318317
model_key,Model,6,28,gradient_mag_p95,1.196159363763864,0.10837162743660311
model_key,Model,6,29,luma_p05,1.195197494435231,-0.10057846610388213
model_key,Model,6,30,image_entropy_gray,1.1829880994592903,0.10061114203829666
model_key,Model,6,31,highlight_minus_shadow_warmth,1.179055457445945,-0.10780664824916798
model_key,Model,6,32,color_spatial_range_rgb_b,1.1671093317690902,-0.004161323471549113
model_key,Model,6,33,color_spatial_var_rgb_g,1.1660056444525293,-0.017451491713539834
model_key,Model,6,34,local_lab_corr_l_b_abs_mean,1.1652912698334184,-0.1131569161473231
model_key,Model,6,35,local_contrast_mean,1.1580864122438763,0.10658308564975295
model_key,Model,6,36,upper_lower_luma_spread_ratio,1.1572918586440897,-0.11844629949535415
model_key,Model,6,37,lab_corr_l_b,1.1467998452502763,-0.1050222971572957
model_key,Model,6,38,midtone_lab_l,1.1426653609599222,0.10167317649450641
model_key,Model,6,39,highlight_lab_l,1.139602200645824,0.055174460246082434
model_key,Model,6,40,luma_p50,1.1326539212482243,0.1006679222661216
film_key,Filmstock,6,1,local_lab_cov_l_a_mean,2.229697218940083,0.1103489389685479
film_key,Filmstock,6,2,local_lab_corr_l_a_mean,2.175286106609001,0.11962660135159027
film_key,Filmstock,6,3,halation_ring_red_excess_p95,2.05232300834396,-0.1384324140953428
film_key,Filmstock,6,4,local_lab_corr_l_b_sd,1.7441594498365531,0.07634577223283216
film_key,Filmstock,6,5,lab_corr_l_a,1.5633181971489984,0.07810900945674673
film_key,Filmstock,6,6,halation_index_ring_minus_background,1.496835065489411,-0.056503689020165816
film_key,Filmstock,6,7,luma_p05,1.4761456644287259,0.10702492165859355
film_key,Filmstock,6,8,lab_cov_l_a,1.4297807916859093,0.046700102078363316
film_key,Filmstock,6,9,shadow_lab_l,1.3796530795840805,0.15287017493559923
film_key,Filmstock,6,10,michelson_contrast_p95_p05,1.3607577107812299,-0.05856058928778473
film_key,Filmstock,6,11,highlight_minus_shadow_lab_a,1.327803379836897,0.02656461469613684
film_key,Filmstock,6,12,hue_teal_cyan_shadow_share,1.3241108044481418,0.14320230155050198
film_key,Filmstock,6,13,color_spatial_var_lab_b,1.3226372336679932,0.02551239705534553
film_key,Filmstock,6,14,rgb_mean_r,1.3166993999614152,0.15743381864462772
film_key,Filmstock,6,15,local_lab_cov_l_b_sd,1.3104637468009053,0.031182606514170094
film_key,Filmstock,6,16,rgb_corr_g_b,1.288949987683353,-0.009282749200921928
film_key,Filmstock,6,17,deep_shadow_fraction,1.273217211486751,-0.15480716071531436
film_key,Filmstock,6,18,luma_mean,1.2507656569323202,0.15773395984126024
film_key,Filmstock,6,19,color_spatial_var_lab_a,1.2503378488248598,-0.08388105060908162
film_key,Filmstock,6,20,rgb_corr_r_g,1.2486019311856065,0.12267902752475067
film_key,Filmstock,6,21,halation_ring_red_excess_mean,1.2456594819687705,-0.044423173072248086
film_key,Filmstock,6,22,bottom_luma_mean,1.2412522990287866,0.13408464948259283
film_key,Filmstock,6,23,lab_mean_l,1.2406787109129451,0.15597909084765804
film_key,Filmstock,6,24,value_mean,1.2270158829965467,0.14973243178304163
film_key,Filmstock,6,25,rgb_mean_g,1.2265793615518064,0.1548511860599881
film_key,Filmstock,6,26,edge_luma_mean,1.2167337362808375,0.1505958771285405
film_key,Filmstock,6,27,lab_sd_a,1.2063156266477342,-0.08911479087990298
film_key,Filmstock,6,28,luma_p01,1.203126507749826,0.0769638770172673
film_key,Filmstock,6,29,lab_sd_b,1.1790268124179444,-9.211529840778661e-05
film_key,Filmstock,6,30,midtone_lab_l,1.1741827413113937,0.14528012804708393
film_key,Filmstock,6,31,luma_p50,1.1702543381583412,0.14556612162486188
film_key,Filmstock,6,32,color_spatial_range_lab_a,1.1635856651675944,-0.0697383005543709
film_key,Filmstock,6,33,luma_kurtosis_excess,1.1587891057475526,-0.13803364517266692
film_key,Filmstock,6,34,highlight_red_excess,1.1528600372461821,0.004923631946131293
film_key,Filmstock,6,35,color_spatial_range_lab_b,1.148041725624442,0.007304101290912284
film_key,Filmstock,6,36,highlight_lab_a,1.1470793854389845,0.011741082667060296
film_key,Filmstock,6,37,luma_skewness,1.146344714706652,-0.14401296385030182
film_key,Filmstock,6,38,highlight_lab_l,1.1449522015370013,0.14228771717981348
film_key,Filmstock,6,39,hue_red_orange_highlight_share,1.136439295623079,0.04909829684338942
film_key,Filmstock,6,40,image_entropy_gray,1.1303577048729634,0.14215654657907234
light_key,Lighting,3,1,warmth_rgb_mean_r_minus_b,1.721033528998637,0.12973376601557993
light_key,Lighting,3,2,warmth_rgb_mean_rg_minus_b,1.6883074910087683,0.12664036819815325
light_key,Lighting,3,3,highlight_warmth_rgb_r_minus_b,1.660439610073096,0.12971981893213608
light_key,Lighting,3,4,halation_ring_red_excess_p95,1.616850152356492,0.12432952925456066
light_key,Lighting,3,5,lab_mean_b,1.6082379782580825,0.12047252661737283
light_key,Lighting,3,6,highlight_lab_b,1.590403483360791,0.12437524889599627
light_key,Lighting,3,7,hue_warm_share,1.5879726711190298,0.11883477927271402
light_key,Lighting,3,8,halation_background_red_excess_mean,1.582419974419941,0.11949501806351917
light_key,Lighting,3,9,highlight_red_excess,1.57578687554136,0.12308819822430687
light_key,Lighting,3,10,lab_sd_b,1.5744127218885189,0.11993738988011009
light_key,Lighting,3,11,left_warmth_mean,1.5423567478029847,0.11637038339787618
light_key,Lighting,3,12,highlight_saturation,1.5253686624626601,0.11921278071281739
