model_key,feature,ss_total,condition_share,run_block_share,condition_by_run_share,within_run_replicate_share,condition_to_seed_variance_ratio,n_conditions,n_runs,n_replicates_per_run
chatgpt_image_2,rgb_mean_r,0.69693649896158,0.5537290980685465,0.007228248744778954,0.2488445457130845,0.1901981074735899,1.2407914019758308,24,3,2
chatgpt_image_2,rgb_mean_g,0.8172909533294458,0.659171875367661,0.007720435909713058,0.1890256993865165,0.14408198933610944,1.934030168662661,24,3,2
chatgpt_image_2,rgb_mean_b,1.091238671061232,0.7223099743830822,0.00502944778018658,0.14203494322053975,0.13062563461619137,2.6011376273900884,24,3,2
chatgpt_image_2,rgb_sd_r,0.14683681170748006,0.23293875285165383,0.02344780292706825,0.37240509168288793,0.37120835253839,0.30367686246389725,24,3,2
chatgpt_image_2,rgb_sd_g,0.2136062581838437,0.46627204363484914,0.02177689260208389,0.2620179720333699,0.24993309172969708,0.87361367916776,24,3,2
chatgpt_image_2,rgb_sd_b,0.40122064844424976,0.6753424180778619,0.010270012898900893,0.1700828183846779,0.1443047506385592,2.080168324052349,24,3,2
chatgpt_image_2,warmth_rgb_mean_r_minus_b,0.5479785264047611,0.8362339678778723,0.0004155922028947461,0.057128710313690344,0.10622172960554266,5.106272387757766,24,3,2
chatgpt_image_2,warmth_rgb_mean_rg_minus_b,0.2621454929668368,0.799577039755168,0.0004259649570464747,0.06454930123121295,0.13544769405657234,3.9894483086090755,24,3,2
chatgpt_image_2,lab_mean_l,8357.36487796066,0.6234269260984885,0.007015308990605892,0.20936122810432137,0.16019653680658422,1.6555270923633243,24,3,2
chatgpt_image_2,lab_mean_a,2103.1615192074164,0.8662879836624663,0.0010550163898728462,0.04772119017481263,0.08493580977284827,6.47875940690077,24,3,2
chatgpt_image_2,lab_mean_b,3827.5620451985897,0.7729255303723782,0.0004428529602461097,0.06686933496035406,0.15976228170702167,3.403841619182881,24,3,2
chatgpt_image_2,lab_sd_l,1726.6027127774337,0.41009229560580934,0.023148246646987187,0.2990783326110849,0.26768112513611886,0.6951804367887616,24,3,2
chatgpt_image_2,lab_sd_a,1229.142021602133,0.7999005985169647,9.166930161425014e-05,0.07779418734708721,0.12221354483433391,3.99751619739243,24,3,2
chatgpt_image_2,lab_sd_b,1581.1546697187719,0.7653033602352904,0.0028414776541912717,0.1006385777213248,0.13121658438919354,3.260819417791963,24,3,2
chatgpt_image_2,lab_chroma_mean,2324.8042962938234,0.8272120239250725,0.0027361241858746142,0.06389659556816774,0.10615525632088499,4.787439743876406,24,3,2
chatgpt_image_2,saturation_mean,1.7668520197085793,0.7526967413719203,0.0024479945400226744,0.10669333481946175,0.13816192926859522,3.0436183718222,24,3,2
chatgpt_image_2,saturation_sd,0.29140734364080884,0.38842808888645214,0.004132629569724148,0.2134240639495941,0.3940152175942297,0.635130688358796,24,3,2
